,Date,AUSTRALIA,AUSTRIA,BELGIUM,CANADA,DENMARK,FINLAND,FRANCE,GERMANY,ITALY,JAPAN,NETHERLANDS,NEW ZEALAND,NORWAY,PORTUGAL,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,UNITED STATES,CHILE,SRI LANKA,URUGUAY,BRAZIL,GREECE,PERU,VENEZUELA,COLOMBIA,ECUADOR,INDIA,MEXICO
206,1957-01-01,8.946297738776105,8.341290578705927,9.28216594265276,9.28333971096407,8.622240994895915,7.949517698467566,8.724533036790401,8.911276049941101,7.480404303406138,7.6286694687742544,8.673600204685789,8.43964506675233,8.088396925238172,6.784145575839722,7.429350799300868,8.571757193127274,8.147857025701716,9.314684432661377,9.708713564201343,7.417788099572984,5.53601087226936,7.511934910649953,6.3089228614124515,6.736846106671381,6.593736407991476,9.248694002213425,6.849550606020613,5.631930054761269,5.492357159651923,7.250464770528807
207,1958-01-01,8.966299657321128,8.30008247698358,9.179448940855737,9.253529226684886,8.689348332038152,7.7980334578456185,8.671760152421545,8.853697047229975,7.480440002185836,7.582285506222735,8.69397436761646,8.404372733382667,8.064270462453587,6.746526470549555,7.527305754218739,8.645475526777867,8.050667684211753,9.2846962859479,9.660512927004335,7.453785541733905,5.336610984884427,7.389301980423235,6.361289451798613,6.816281643610298,6.666396750920142,8.962696412020696,6.841067129540837,5.75974965250093,5.514827510839152,7.3104431830526275
208,1959-01-01,9.020364535936396,8.289950195833748,9.180947313019567,9.243009801233114,8.65382176305966,8.035332952053649,8.645272903931595,8.840508831553796,7.5447293217289,7.633867202677078,8.68611282264971,8.396451960229191,8.110001612947954,6.793052020936771,7.448228586232453,8.648040579734689,8.05857224542283,9.261711290766387,9.673525064007267,7.449248578358792,5.363216425491962,7.473485120964706,6.330488826989426,6.8925330123872595,6.617396831805455,9.10193402871884,6.949516541821363,5.709224731567057,5.552219146363414,7.354383662869619
209,1960-01-01,9.049313791237912,8.383291930305923,9.20829052443926,9.264819031926084,8.779665152466995,8.13443029699865,8.669423481333945,8.923439721759676,7.686408327450174,7.813581036692749,8.763980011723692,8.49027010585545,8.204825917189632,6.813649360097971,7.375775986500724,8.79186602959044,8.200017028790423,9.31979735465804,9.68033019841344,7.483551520586457,5.428724497624867,7.442345019936014,6.483530783554559,7.029535763659022,6.7130210445538365,8.929619599987477,6.936005733394468,5.990016814037911,5.627040440872618,7.400040726968926
210,1961-01-01,9.053352233847917,8.411023824496137,9.2226520066572,9.251512481536768,8.836962649965745,8.116380633070273,8.693994066334415,8.927300097795497,7.810027113987283,8.000342583038078,8.782684424092022,8.484189550316863,8.21573516811661,6.914299172159179,7.459867859868965,8.778979834100566,8.21579974262246,9.319433344667265,9.66022136187597,7.529388379076453,5.434678799200989,7.382534726925819,6.501921798398462,7.0645732225909965,6.740416855569024,8.797383050311364,7.008234210058423,5.892105717540193,5.682554137374217,7.402056315840413
211,1962-01-01,9.081635450987886,8.467028033726873,9.272723802705839,9.297675894024437,8.980489759387487,8.227527116515038,8.734163257333435,8.980238728190498,7.965736071283853,8.02608403146794,8.862321257572367,8.412862999440247,8.26065442457002,6.9386892878087645,7.5639340876870795,8.822836483541094,8.357743776321557,9.317771929453738,9.681214715664408,7.65008403823063,5.500951295697901,7.342048601162169,6.55984007815003,7.092740942322988,6.854447881388665,8.801506463217935,7.041418630282226,5.812495115301287,5.755768059458225,7.347126109596716
212,1963-01-01,9.125137918759124,8.547759980116938,9.340939626743927,9.297808389900785,9.070101801169919,8.36162204826224,8.83124541943419,9.059883118850168,8.076662094932232,8.119494082626384,8.939046593279217,8.478906411539482,8.315447226387748,7.006644517829552,7.534519543488612,8.893149487266022,8.522704973083197,9.329020824879844,9.710070395355071,7.663995820730022,5.463982483906209,7.403161067474637,6.565491623042549,7.276331548381397,6.851596948465341,8.803246265765756,7.099642737841402,5.920532642299488,5.805366512787406,7.354919197651603
213,1964-01-01,9.18136900995564,8.592486915215199,9.311702091737061,9.398011114119306,9.121517524838929,8.522019294887839,8.85309813092582,9.073340648462404,8.134471241628981,8.208773594501446,8.985654788348395,8.528404096628048,8.3853353541223,7.096995570073643,7.615432580899579,8.973134169017968,8.473132385041746,9.329696999260548,9.73909148460825,7.651446252465747,5.331596719224849,7.444974635035152,6.555832293266329,7.348435940256929,7.0037394933736845,8.77454273903236,7.0901063175600365,6.068027773485138,5.76149191574323,7.43652704464617
214,1965-01-01,9.266210888694385,8.566401655386347,9.320092392982044,9.438513808882432,9.139742113369397,8.621523848323127,8.862911668698805,9.059716401602826,8.202557989334624,8.27203548055023,9.008942491327097,8.554214267605444,8.391064629861567,7.147210384100354,7.703719517634057,8.999352613523275,8.538999596810179,9.346246933832028,9.767193790864331,7.643840346286691,5.46422897631502,7.62588109753867,6.520237776889628,7.5965196475504495,6.950276678938389,8.810422851939373,7.112628562801804,6.097984415147445,5.83542601165989,7.418707272627972
215,1966-01-01,9.242272502127527,8.587040971454476,9.311565283705853,9.447905830134493,9.254237869907467,8.770912541382414,8.84066854163706,9.036031960593462,8.317289769197828,8.34433028958481,9.026718123807267,8.559273015957528,8.558695213870305,7.1709893295154945,7.781227526137948,9.137460216050174,8.567566205905065,9.33433519162201,9.804830794774485,7.679552454875616,5.441669620428083,7.594033429958479,6.622197103905909,7.680272564700089,7.0244266235040165,8.711973913276136,7.1098319372948735,6.12908272788106,5.849330293278385,7.461082815134888
