Date,AVG_RTN,CSAD_AVG,CSSD_AVG,SHSZ300,up_avg,down_avg,up1_avg,down1_avg,up5_avg,down5_avg,up10_avg,down10_avg,shsz300_up,shsz300_down
2015/8/20,-0.038175769,0.034017827,0.046563329,-0.031139656,0,1,0,0,0,1,0,1,0,1
2015/8/21,-0.064602478,0.02414919,0.031273327,-0.046500993,0,1,0,0,0,1,0,1,0,1
2015/8/24,-0.102534928,0.005295935,0.012164091,-0.094308862,0,1,0,1,0,1,0,1,0,1
2015/8/25,-0.098861362,0.011522149,0.018663534,-0.074675425,0,1,0,1,0,1,0,1,0,1
2015/8/26,-0.041469236,0.046871827,0.056210223,-0.005789072,0,1,0,0,0,1,0,1,0,1
2015/8/27,0.043140403,0.033609715,0.046689108,0.059206771,1,0,0,0,1,0,1,0,1,0
2015/8/28,0.070984716,0.015399706,0.018354622,0.044167485,1,0,1,0,1,0,1,0,1,0
2015/8/31,-0.052291902,0.029156156,0.036610903,0.008090524,0,1,0,0,0,1,0,1,1,0
2015/9/1,-0.087653352,0.024202503,0.031190243,0.000950654,0,1,0,1,0,1,0,1,1,0
2015/9/2,-0.044268741,0.040912309,0.051401885,0.002544453,0,1,0,0,0,1,0,1,1,0
2015/9/7,0.009293837,0.030646598,0.040663301,-0.03637938,1,0,0,0,0,0,0,0,0,1
2015/9/8,0.056786112,0.026367173,0.036173212,0.025988092,1,0,1,0,1,0,1,0,1,0
2015/9/9,0.0595506,0.021121159,0.024435397,0.017429381,1,0,1,0,1,0,1,0,1,0
2015/9/10,-0.018040179,0.023015025,0.027972432,-0.012293569,0,1,0,0,0,0,0,0,0,1
2015/9/11,0.005852995,0.013420818,0.017037596,-0.002655128,1,0,0,0,0,0,0,0,0,1
2015/9/14,-0.09802581,0.011907336,0.01766017,-0.019100312,0,1,0,1,0,1,0,1,0,1
2015/9/15,-0.083464914,0.022619176,0.027327786,-0.040187545,0,1,0,1,0,1,0,1,0,1
2015/9/16,0.090417868,0.007496836,0.012337995,0.048265024,1,0,1,0,1,0,1,0,1,0
2015/9/17,-0.009676313,0.026339297,0.035250252,-0.021148178,0,1,0,0,0,0,0,0,0,1
2015/9/18,0.021003591,0.017584334,0.025927676,0.004462973,1,0,0,0,0,0,0,0,1,0
2015/9/21,0.050285528,0.013430747,0.018403154,0.016931903,1,0,0,0,1,0,1,0,1,0
2015/9/22,0.01200885,0.025297604,0.035015792,0.007943834,1,0,0,0,0,0,0,0,1,0
2015/9/23,0.009417756,0.032247221,0.039375588,-0.024153375,1,0,0,0,0,0,0,0,0,1
2015/9/24,0.009244854,0.021233449,0.028184044,0.007713954,1,0,0,0,0,0,0,0,1,0
2015/9/25,-0.043580012,0.026020555,0.03726069,-0.015260545,0,1,0,0,0,1,0,1,0,1
2015/9/28,0.029729574,0.021829883,0.027699574,0.004294292,1,0,0,0,0,0,1,0,1,0
2015/9/29,-0.014320968,0.026153808,0.033074332,-0.019225778,0,1,0,0,0,0,0,0,0,1
2015/9/30,0.014658373,0.017379597,0.027585783,0.007975173,1,0,0,0,0,0,0,0,1,0
2015/10/8,0.057662003,0.01674603,0.022843684,0.029397958,1,0,1,0,1,0,1,0,1,0
2015/10/9,0.01871205,0.018480509,0.029473951,0.015134633,1,0,0,0,0,0,0,0,1,0
2015/10/12,0.046453214,0.024574693,0.036747252,0.034605708,1,0,0,0,1,0,1,0,1,0
2015/10/13,0.020706923,0.025241231,0.035267272,-0.00369057,1,0,0,0,0,0,0,0,0,1
2015/10/14,-0.005946802,0.027214287,0.035723132,-0.012657298,0,1,0,0,0,0,0,0,0,1
2015/10/15,0.037812073,0.020153038,0.027133067,0.024883068,1,0,0,0,1,0,1,0,1,0
2015/10/16,0.006089379,0.016487634,0.022562366,0.01147487,1,0,0,0,0,0,0,0,1,0
2015/10/19,0.005762005,0.025437643,0.029957835,-0.00116253,1,0,0,0,0,0,0,0,0,1
2015/10/20,0.011909292,0.015541455,0.019657649,0.014017126,1,0,0,0,0,0,0,0,1,0
2015/10/21,-0.089077243,0.019503431,0.02569605,-0.029691857,0,1,0,1,0,1,0,1,0,1
2015/10/22,0.039868567,0.015437064,0.021507796,0.012830993,1,0,0,0,1,0,1,0,1,0
2015/10/23,0.03196404,0.021984911,0.02801155,0.015573032,1,0,0,0,0,0,1,0,1,0
2015/10/26,0.033183171,0.029493396,0.035390322,0.003773347,1,0,0,0,0,0,1,0,1,0
2015/10/27,6.32E-06,0.027400612,0.035789925,0.000913154,1,0,0,0,0,0,0,0,1,0
2015/10/28,-0.023409653,0.025076333,0.03189006,-0.019505295,0,1,0,0,0,0,0,0,0,1
2015/10/29,0.008848532,0.015598309,0.022200206,0.003226197,1,0,0,0,0,0,0,0,1,0
2015/10/30,0.001598746,0.023369534,0.030041006,0.005680723,1,0,0,0,0,0,0,0,1,0
2015/11/2,-0.016583694,0.029319674,0.036461078,-0.020136698,0,1,0,0,0,0,0,0,0,1
2015/11/3,0.009895852,0.023962624,0.030166926,-0.002322255,1,0,0,0,0,0,0,0,0,1
2015/11/4,0.05867948,0.015109278,0.019347184,0.045864413,1,0,1,0,1,0,1,0,1,0
2015/11/5,-0.001865668,0.017460199,0.021178902,0.019443646,0,1,0,0,0,0,0,0,1,0
2015/11/6,0.027396209,0.012758249,0.018262744,0.022507626,1,0,0,0,0,0,1,0,1,0
2015/11/9,0.028786153,0.027783816,0.033901078,0.0107672,1,0,0,0,0,0,1,0,1,0
2015/11/10,0.01547063,0.028857978,0.03732741,-0.001493278,1,0,0,0,0,0,0,0,0,1
2015/11/11,0.025017795,0.025078264,0.032501327,-0.001574799,1,0,0,0,0,0,0,0,0,1
2015/11/12,0.013826449,0.032368414,0.041019549,-0.010736926,1,0,0,0,0,0,0,0,0,1
2015/11/13,-0.026183108,0.030026649,0.041651661,-0.012985181,0,1,0,0,0,0,0,1,0,1
2015/11/16,0.023699789,0.019551641,0.026063691,0.005139081,1,0,0,0,0,0,0,0,1,0
2015/11/17,-0.013193667,0.02170449,0.029933018,-0.002373027,0,1,0,0,0,0,0,0,0,1
2015/11/18,-0.027543379,0.021991714,0.028306285,-0.012489593,0,1,0,0,0,0,0,1,0,1
2015/11/19,0.048219476,0.023174195,0.028615483,0.016311929,1,0,0,0,1,0,1,0,1,0
2015/11/20,0.022278697,0.023232851,0.029512186,-0.000515604,1,0,0,0,0,0,0,0,0,1
2015/11/23,-0.028519291,0.018699536,0.024374693,-0.006249974,0,1,0,0,0,0,0,1,0,1
